Name,Audio Link
إياد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1753980967-cd92e4c2-6987-4d8f-a7c9-24e5c3bb1937.mp3
سفيان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1753981346-a1b4512e-66e9-40ab-ab13-30b543fd6633.mp3
حنان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1753981701-316ce64c-5028-4879-972a-11d17fac7057.mp3
محسن,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1753981938-de0f74cc-baf0-4068-9f6c-bca09983ce69.mp3
أيهم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1753983003-592af357-1b14-4c5f-a2e4-6b73fb5d0790.mp3
عامر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1753983422-f3b76fa4-7165-4feb-bc3f-d6aacff796b4.mp3
سامر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751215204-89ebb79a-3dd1-40ab-9eda-b56073837a54.mp3
كريم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751215502-5b4fe7c5-1e9a-4926-a4ad-224318ee078b.mp3
وسيم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751215817-248564e3-6c5f-4508-a198-b9a39e474d07.mp3
أمير,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751216017-96b05972-80e1-4f99-9b4d-2f653814edf0.mp3
جاسم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751216818-798b1392-c075-4d95-9e7d-8453285bb3cd.mp3
حمزة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751217269-052c0cd1-292a-4db2-9b7c-50c97c175737.mp3
عمر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751217923-e74eea2b-c4af-4ecb-a9c7-d25d07c46f33.mp3
جميلة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751218241-e4547071-2309-4f35-8979-c1be0c9219a4.mp3
ناديا,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751218818-93e870b4-fb07-464e-b986-1dc0838185e8.mp3
ثامر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751219819-f442ee8a-3fda-4803-856c-25847f157621.mp3
أحلام,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751222578-62b38620-be2d-4d43-853c-dc99158f224c.mp3
غانم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751223215-d021e5d9-7f64-4458-b315-76d847b93e66.mp3
جلال,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754100557-6d7e9541-4cae-49f6-ab7e-194baeb1d72e.mp3
أدهم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751223423-96b5af59-5adf-4ca9-953a-a93bdbc7ef19.mp3
خلود,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754100982-72c35506-446e-45e0-8280-5e93a45935c8.mp3
أسر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751223789-43826183-031c-4d35-b05e-de00dd864b55.mp3
رياض,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754101295-0c514427-735c-465d-89d4-a290a145e932.mp3
